approach,n_estimators,max_depth,format,size_kb,rmse,mae,r2
pruned n=15 depth=3,15,3,UBJ,17.98046875,3.4845521886959157,2.616653683233295,0.4809021502588985
pruned n=15 depth=3,15,3,JSON,17.890625,3.4845521886959157,2.616653683233295,0.4809021502588985
pruned n=15 depth=2,15,2,UBJ,13.9814453125,3.617792009118378,2.7926696151352224,0.4404453960203736
pruned n=15 depth=2,15,2,JSON,11.4970703125,3.617792009118378,2.7926696151352224,0.4404453960203736
pruned n=10 depth=6,10,6,UBJ,37.046875,3.824557904438261,2.9102782882120217,0.374657760965061
pruned n=10 depth=6,10,6,JSON,52.037109375,3.824557904438261,2.9102782882120217,0.374657760965061
pruned n=10 depth=4,10,4,UBJ,17.390625,3.8458380199505924,2.9402196485559435,0.3676795025855729
pruned n=10 depth=4,10,4,JSON,20.3466796875,3.8458380199505924,2.9402196485559435,0.3676795025855729
pruned n=10 depth=3,10,3,UBJ,12.27734375,3.917803761260768,2.978711689101651,0.3437933294967196
pruned n=10 depth=3,10,3,JSON,12.07421875,3.917803761260768,2.978711689101651,0.3437933294967196
pruned n=10 depth=2,10,2,UBJ,9.611328125,4.030489985906399,3.1282919791937065,0.30550203743072146
pruned n=10 depth=2,10,2,JSON,7.8427734375,4.030489985906399,3.1282919791937065,0.30550203743072146
pruned n=5 depth=6,5,6,UBJ,18.8583984375,4.36478708126539,3.3778530080905815,0.18551815247813808
pruned n=5 depth=6,5,6,JSON,26.1220703125,4.36478708126539,3.3778530080905815,0.18551815247813808
pruned n=5 depth=4,5,4,UBJ,9.1630859375,4.3781249424981725,3.3972581484078432,0.1805327802954314
pruned n=5 depth=4,5,4,JSON,10.513671875,4.3781249424981725,3.3972581484078432,0.1805327802954314
pruned n=5 depth=3,5,3,UBJ,6.5732421875,4.418327815986381,3.4157171805961024,0.1654138887029053
pruned n=5 depth=3,5,3,JSON,6.318359375,4.418327815986381,3.4157171805961024,0.1654138887029053
pruned n=5 depth=2,5,2,UBJ,5.240234375,4.490193739198762,3.4986571799301163,0.13804331331565922
pruned n=5 depth=2,5,2,JSON,4.197265625,4.490193739198762,3.4986571799301163,0.13804331331565922
